# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -20565 9 3 53 4627784 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/end_date.d4908b1e39cc.html
DUPTYPE_WITHIN_SAME_TREE -20565 9 3 53 4612083 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/end_date.html
DUPTYPE_FIRST_OCCURRENCE 20423 8 3 53 4448367 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -20423 8 3 53 4448613 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 53 4611838 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 53 4611883 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -20423 8 3 53 4444627 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 53 4627958 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -20423 8 3 53 4444143 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -20423 8 3 53 4448348 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -20423 8 3 53 4444098 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 53 4627693 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 53 4627712 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 53 4612367 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.json
DUPTYPE_FIRST_OCCURRENCE 20503 8 4 53 4448246 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -20503 8 4 53 4443861 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -20503 8 4 53 4444597 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course_2/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 53 4612409 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_unicode/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 53 4627591 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 53 4612337 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course_2/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -20503 8 4 53 4448607 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course_2/about/end_date.95cec7fbf076.html
